NIE,G1-MAT1,G1-MAT2,G1-MAT3,G1-MAT4,G1-MAT5,G1-MAT6,G1-MAT7,G1-MAT8,G1-MAT9,G1-MAT10,G1-MAT11,G1-MAT12,G1-MAT13,G1-MAT14,G1-MAT15,G1-MAT16,G1-MAT17,G1-MAT18,G1-MAT19,G1-MAT20
10292988,1,0,1,1,0,0,1,0,0,1,1,0,1,1,0,1,1,0,1,1
10335450,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1
10364248,1,0,0,1,0,0,1,0,0,0,1,0,1,1,0,1,0,1,1,0
10320515,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0
10110292,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,1,0
10374827,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
10494468,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,1,0
10333662,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0
10479452,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,1,0
10333618,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0
10480361,1,0,0,0,0,0,1,0,1,0,1,0,1,1,0,1,1,0,1,0
10524396,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0
10521292,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0
10480671,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0
10298325,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,1,0
10505926,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,1,1,1,1
10386584,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0
10524407,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0
10535793,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0
10386621,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
10524558,0,0,1,0,0,0,1,1,1,0,1,0,0,1,0,0,1,0,0,1
10324257,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1
10452830,1,0,0,0,0,1,0,1,0,0,1,1,0,1,1,1,0,0,0,0
10350162,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1
10350183,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,1
10232685,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1
10350213,0,0,1,0,0,0,1,0,1,1,1,0,0,1,1,0,1,0,0,1
10324214,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
10692760,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
10695325,0,0,0,0,0,0,1,1,0,1,1,1,0,1,0,0,1,0,1,1
10350235,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0
10369392,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,1,1
10337808,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1
10451757,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,1,0
10227969,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0
10369428,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
10369490,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1
10369503,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0
10369517,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
