N°,NIE,G1-LEG1,G1-LEG2,G1-LEG3,G1-LEG4,G1-LEG5,G1-LEG6,G2-LEG7,G2-LEG8,G2-LEG9,G2-LEG10,G2-LEG11,G2-LEG12,G3-LEG13,G3-LEG14,G3-LEG15,G3-LEG16,G3-LEG17,G3-LEG18,G4-LEG19,G4-LEG20,G4-LEG21,G4-LEG22,G4-LEG23,G4-LEG24
1,10292988,A,A,B,A,B,A,C,B,A,A,C,C,B,A,C,C,B,B,B,A,C,C,A,B
2,10335450,B,A,A,C,B,A,C,B,A,A,B,C,B,A,C,C,B,B,B,A,C,C,A,A
3,10331257,B,A,A,B,C,A,C,B,B,A,A,C,B,A,C,C,B,B,B,A,A,A,A,B
4,10500259,A,A,A,A,C,A,A,A,A,A,A,A,B,B,C,C,A,B,A,C,A,C,A,A
5,10475627,A,A,C,A,B,A,C,B,A,A,B,B,B,A,C,C,B,B,B,C,C,A,A,B
6,10130153,C,C,B,B,C,B,C,C,A,B,B,B,C,A,C,B,B,B,C,B,C,A,L,B
7,10335547,A,B,A,B,B,B,B,B,B,A,B,B,A,B,B,B,B,A,A,B,B,A,A,A
8,10307831,,,,,,,,,,,,,,,,,,,,,,,,
9,10131338,B,A,A,A,B,B,C,B,A,C,A,A,B,A,A,A,A,A,C,A,A,A,A,A
10,10130460,A,B,A,A,B,C,B,A,B,A,B,C,A,C,C,A,B,A,B,B,A,A,L,A
11,10364248,B,A,B,A,B,B,C,C,A,B,A,B,B,A,C,C,B,B,C,A,C,C,A,B
12,10130898,B,B,C,A,C,A,C,C,B,C,B,C,A,A,C,C,A,B,A,B,B,B,L,A
13,10335413,B,A,B,A,A,C,C,A,C,A,A,C,B,A,A,C,C,A,B,A,B,A,C,C
14,10131928,B,A,C,A,B,B,C,A,C,A,C,C,C,A,A,C,B,B,C,A,B,A,A,A
15,10307691,B,A,C,A,B,B,B,C,A,C,A,C,B,A,B,C,C,B,B,A,C,B,A,B
16,10470769,B,A,C,A,B,A,B,B,A,B,A,C,B,A,C,C,B,B,B,C,C,B,A,B
17,10385475,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,C,B,B,B,A,B,B,A,B
18,10421504,B,A,C,B,B,A,C,B,A,B,A,C,B,A,C,C,B,B,B,A,A,C,A,B
19,10475546,A,A,A,A,B,B,B,B,B,A,A,B,B,B,B,B,B,A,B,A,A,A,A,B
20,10501503,A,B,B,B,B,C,C,A,B,B,B,C,B,C,A,A,B,A,B,A,A,C,L,C
21,10132778,B,A,A,B,B,B,C,A,A,B,A,A,B,A,A,C,B,C,C,C,A,C,A,C
22,10339328,B,A,B,A,B,A,B,C,B,C,C,A,B,A,A,C,B,B,B,A,C,C,A,B
23,10417539,B,A,C,A,B,A,C,B,B,B,B,C,B,A,C,C,B,B,,,,,,
24,10374335,B,B,C,B,C,A,A,A,B,B,C,A,C,A,B,B,B,B,A,A,B,A,L,C
25,10303185,B,A,A,A,B,B,C,B,B,A,B,C,B,A,C,C,B,B,B,A,B,C,A,B
26,10321677,B,A,A,A,B,A,C,B,A,A,A,A,B,A,A,B,B,B,B,A,B,A,A,A
27,10307917,B,A,A,A,B,A,C,B,A,B,B,A,B,A,C,C,B,B,B,C,C,C,A,B
28,10537222,B,C,C,C,B,A,C,B,A,A,A,C,B,A,C,C,B,B,B,B,C,A,A,A
29,10308715,A,A,B,C,B,A,C,A,A,A,A,A,B,C,C,C,B,C,B,A,C,C,L,A
30,10308643,B,A,B,B,B,A,A,A,A,A,A,C,B,B,C,C,B,B,B,C,C,C,A,B
31,10510013,B,C,A,A,B,B,C,A,B,B,B,B,A,A,B,A,B,A,A,C,B,B,A,A
32,10510005,B,A,C,A,B,A,C,B,A,B,A,C,B,A,A,C,B,B,C,C,B,A,A,B
33,10304334,A,B,B,A,B,A,B,A,B,B,B,A,B,B,A,A,B,C,A,B,B,B,A,B
34,10316500,B,A,C,A,B,A,C,B,B,C,B,A,B,A,A,C,B,B,C,A,C,C,A,B
35,10311386,B,A,B,B,B,C,C,B,A,B,A,B,B,A,C,C,B,B,B,A,C,C,A,B
36,10294468,B,A,B,C,C,A,C,B,A,B,A,C,B,A,C,C,C,B,B,C,C,A,A,A
37,10629156,B,A,C,A,B,A,C,B,A,A,B,C,B,A,C,C,B,B,B,A,C,C,A,B
38,10497874,B,A,C,A,B,A,C,B,A,A,A,C,B,A,C,C,B,B,B,A,C,C,A,B
39,10241500,B,A,C,A,B,B,C,B,C,A,B,C,B,A,C,A,A,C,B,B,A,B,L,A
40,10659677,B,A,C,B,B,B,C,B,A,B,A,A,B,A,B,C,C,B,B,C,C,A,A,B
41,10152342,A,A,B,A,B,A,A,A,A,B,A,A,B,A,A,A,B,C,B,A,A,C,L,A
42,10111665,A,A,B,C,B,A,B,B,A,C,A,A,A,A,B,B,A,A,A,A,A,B,A,A
43,10291304,B,A,A,C,B,A,B,A,A,B,B,A,B,C,B,C,B,C,B,A,A,C,A,C
44,10038699,A,A,C,B,A,B,A,A,B,A,B,C,C,B,A,C,C,B,B,C,A,A,L,C
45,10334993,B,A,C,A,B,A,C,B,A,B,B,C,B,A,B,C,B,B,B,C,C,C,L,B
46,10316473,B,A,C,A,B,A,C,B,A,A,A,C,B,A,C,C,B,B,B,C,C,C,A,B
47,10144173,B,A,B,B,B,B,A,A,A,A,C,A,A,B,A,B,A,A,A,A,A,A,A,A
49,10008471,C,B,B,B,A,C,A,B,B,C,C,B,C,C,B,A,A,B,C,C,B,A,L,B
50,10077162,A,A,B,B,C,B,B,A,C,B,C,A,A,B,C,A,C,A,B,A,A,C,L,C
51,10110077,B,A,B,A,B,C,C,B,C,C,C,C,B,A,C,C,C,B,C,B,B,C,A,B
52,20316608,B,A,C,A,B,A,B,A,A,B,B,B,B,A,C,C,B,C,C,A,C,C,A,B
53,10097558,B,A,C,A,B,A,C,B,A,A,B,C,B,A,B,A,B,B,B,C,C,C,A,B
54,10066900,B,A,C,A,B,A,C,B,A,A,A,C,B,A,B,B,B,B,B,C,C,C,A,B
55,10368466,C,B,B,B,A,A,C,C,A,A,C,B,B,C,A,A,B,B,A,A,A,B,C,B
56,10720803,B,B,C,B,B,B,B,B,B,C,A,A,C,B,C,B,B,B,B,B,B,B,L,B
57,10728930,A,A,A,A,B,A,A,A,C,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
58,10306823,C,B,A,C,C,C,C,C,B,B,C,B,C,A,A,A,A,C,A,C,B,C,A,A
59,10423952,A,C,B,B,B,A,A,C,B,A,C,B,A,A,A,C,C,C,A,C,B,B,A,B
60,10522932,C,B,B,B,A,C,C,B,C,A,A,B,A,A,C,C,C,B,C,C,A,C,C,A
61,10058195,B,A,C,A,B,A,C,B,A,B,A,C,B,B,C,C,B,B,B,C,C,C,A,B
62,10392737,A,C,B,A,C,A,B,B,A,C,C,A,A,B,A,A,C,B,C,A,C,B,A,A
63,10320515,C,A,C,B,A,B,C,A,A,B,B,B,B,A,B,B,A,A,B,A,B,B,A,B
64,10520804,B,B,A,C,B,B,B,A,B,B,A,B,B,C,A,C,B,A,A,A,A,C,L,B
65,10367550,B,A,C,B,B,B,B,B,B,B,A,A,C,B,C,B,B,B,B,C,A,A,A,A
66,10603727,B,A,A,C,B,C,B,B,B,B,B,C,A,B,B,B,C,A,B,B,B,A,C,A
67,10472026,B,B,A,A,A,B,C,B,A,B,A,C,C,A,A,B,A,C,C,B,A,B,L,B
68,10593641,A,A,C,A,C,B,A,C,A,A,A,A,A,A,A,A,C,A,A,A,A,A,C,A
69,10059877,C,A,C,A,B,C,A,C,B,B,A,B,C,A,C,B,C,C,A,C,B,B,A,B
70,10013496,A,B,C,B,C,A,B,C,B,B,C,A,A,B,B,C,B,C,C,C,C,C,A,C
71,10279404,B,B,A,A,B,B,A,A,C,A,C,C,B,B,A,B,C,A,A,B,C,B,L,A
72,10321128,B,A,C,A,B,A,B,B,A,A,A,C,C,C,A,A,B,C,B,B,C,C,A,B
73,10144730,A,A,A,A,A,A,C,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A
74,10492972,A,A,B,A,B,A,A,C,A,A,A,A,A,A,A,B,B,A,B,A,A,C,C,C
75,10390118,B,C,A,A,A,B,C,B,C,A,B,A,B,C,B,A,B,B,B,C,C,A,A,A
76,20229822,A,C,B,B,A,B,C,B,A,A,C,B,B,B,C,A,B,B,C,B,A,A,L,B
77,10510822,A,C,A,B,A,C,C,C,B,A,C,B,A,A,B,C,C,A,B,C,C,B,L,B
78,10132646,B,A,A,A,B,A,C,B,A,A,B,A,B,A,B,C,B,C,B,A,C,C,A,B
79,10053033,A,B,C,B,A,A,A,C,A,B,B,C,C,B,C,B,A,B,B,A,B,C,A,C
80,10675890,B,B,C,A,B,C,A,B,A,A,B,C,C,C,A,B,A,B,C,C,A,A,L,A
81,20317862,B,A,B,C,B,C,A,A,A,A,C,C,A,B,B,A,B,B,C,A,B,A,L,C
82,10469443,B,A,C,B,B,B,C,B,B,B,A,C,B,A,B,B,B,C,B,C,C,B,L,B
83,10349858,A,A,A,B,A,B,A,B,C,A,C,C,B,B,A,A,B,A,B,B,A,A,L,A
84,10091368,B,B,A,C,C,A,A,B,B,A,A,A,C,C,B,B,A,C,C,C,A,A,L,A
85,10154129,A,C,C,C,B,B,A,A,B,A,B,C,C,A,C,A,A,A,B,C,C,C,C,A
86,10485597,B,A,A,A,A,A,A,A,A,A,C,A,A,A,A,B,C,A,A,A,C,A,A,B
