N°,NIE,G1-LEG1,G1-LEG2,G1-LEG3,G1-LEG4,G1-LEG5,G1-LEG6,G2-LEG7,G2-LEG8,G2-LEG9,G2-LEG10,G2-LEG11,G2-LEG12,G3-LEG13,G3-LEG14,G3-LEG15,G3-LEG16,G3-LEG17,G3-LEG18,G4-LEG19,G4-LEG20,G4-LEG21,G4-LEG22,G4-LEG23,G4-LEG24
1,19713061,D,B,B,B,A,B,D,B,B,C,A,A,D,B,A,C,B,C,B,D,C,C,A,B
2,19863268,D,C,B,A,A,B,A,D,B,B,A,A,C,C,D,B,B,B,D,B,D,C,C,D
3,19996694,C,B,B,A,A,D,A,C,C,D,D,C,A,A,A,C,B,C,B,A,A,C,D,A
4,20358299,D,C,B,A,D,B,A,D,C,B,D,A,D,D,B,A,B,B,A,B,D,C,C,B
5,5103796,B,A,B,D,A,B,A,B,B,B,D,C,A,D,B,B,D,B,C,B,A,C,B,D
6,10192151,C,A,C,A,D,B,A,D,B,B,D,A,D,C,A,A,B,B,D,B,D,C,C,B
7,19998852,B,A,C,B,B,B,C,A,B,C,A,C,D,B,C,C,C,C,A,D,D,D,C,C
8,3268826,D,B,A,D,A,B,B,A,B,B,D,A,A,D,C,D,B,B,D,B,D,C,C,A
9,7281496,C,B,C,C,A,B,A,B,B,A,B,A,C,B,A,C,A,D,D,B,C,B,B,B
10,6727572,D,C,C,D,D,B,A,D,B,B,D,A,D,D,D,B,B,D,A,B,A,C,C,B
11,19863366,A,B,C,C,A,C,B,C,A,B,B,B,B,B,A,C,A,B,B,A,B,B,D,B
12,7281453,A,C,B,A,D,B,A,C,B,A,D,D,D,C,C,A,B,B,A,B,D,C,C,C
13,19863391,A,A,B,D,D,B,A,B,B,D,D,A,D,D,D,B,C,C,C,D,D,C,C,B
14,19992860,B,D,B,A,B,D,B,A,A,A,D,A,A,A,D,A,A,A,A,B,A,C,C,B
15,20096093,,,B,,A,,,,,,,,,,,,,,,,,,,
16,3040214,A,B,B,B,B,C,A,A,A,B,B,B,A,B,A,B,A,B,C,D,A,A,D,A
17,19998675,C,A,D,D,D,D,D,D,B,B,C,C,B,B,D,C,A,A,A,A,B,C,D,A
18,20096590,A,B,A,B,A,B,B,C,B,B,D,D,A,B,D,A,B,B,D,B,D,C,C,B
19,19863292,A,A,D,B,A,B,B,C,C,C,C,B,D,B,B,C,A,B,B,D,A,A,B,C
20,19863302,B,D,A,C,C,D,D,C,A,B,D,D,A,A,B,D,A,A,C,D,C,C,A,A
21,19999175,B,A,C,C,C,C,C,C,C,B,B,C,D,B,C,B,B,B,C,A,B,B,B,B
22,19998968,B,A,C,C,B,D,C,B,C,A,D,D,A,D,B,C,A,B,C,A,B,D,C,A
23,19989155,B,D,C,A,D,A,A,B,B,B,D,C,D,C,A,B,C,B,C,B,A,B,C,B
24,20099573,C,B,B,A,B,D,C,B,A,D,D,A,D,C,C,A,A,A,B,A,B,B,D,D
25,20206821,A,B,D,B,C,D,D,D,A,D,D,D,C,C,A,D,C,B,C,A,B,D,D,A
26,19863325,A,C,B,A,B,B,A,B,A,B,C,A,B,B,A,A,A,D,B,A,A,D,C,C
27,19863379,A,B,C,A,A,A,C,B,B,B,B,B,A,A,B,D,A,B,B,A,C,B,C,A
28,20125477,C,A,D,A,A,C,A,D,B,B,D,B,D,B,C,A,B,B,A,B,A,C,C,A
29,20088872,D,B,A,B,C,D,B,D,D,B,A,D,B,D,C,D,B,C,D,B,B,C,C,D
30,6560527,A,D,C,A,B,B,D,C,A,B,D,B,C,B,B,A,A,A,C,A,A,A,D,A
31,19901822,D,A,C,A,D,D,A,A,B,B,D,A,D,D,D,C,B,B,A,B,A,C,C,A
32,4658680,A,C,D,D,D,D,A,D,A,B,C,B,A,B,C,D,A,A,D,C,B,D,D,D
33,20096767,C,C,A,C,B,C,A,C,A,C,C,C,C,A,B,B,A,B,D,D,A,B,A,B
34,20009832,B,A,D,D,D,B,A,B,B,D,A,A,D,B,D,A,A,B,A,A,B,C,D,D
35,20126457,D,B,D,B,A,B,C,D,A,A,D,A,B,B,C,D,A,B,D,A,B,B,D,A
37,20121634,D,C,B,A,D,B,A,C,D,B,B,C,D,B,A,A,C,B,A,C,D,A,B,C
38,10243887,C,C,D,B,A,B,C,D,B,C,A,D,D,D,D,B,C,C,C,C,A,D,A,A
39,19787674,C,B,D,A,B,B,C,A,A,B,A,A,C,A,C,B,C,A,B,A,C,D,C,A
40,19994330,A,A,A,A,D,B,A,B,A,B,A,A,A,B,A,B,A,A,A,A,A,B,B,A
41,10279001,D,C,B,D,D,B,A,A,B,B,D,A,D,C,B,A,B,B,A,B,D,C,C,B
42,19859321,D,C,B,A,D,B,A,D,A,B,D,A,D,D,B,A,B,B,C,B,D,C,C,B
43,19859323,B,B,A,D,A,B,D,C,A,B,A,A,A,A,B,B,A,A,A,A,B,B,A,C
44,4237306,D,C,B,A,D,B,A,D,B,B,D,A,D,C,B,A,B,B,A,B,D,C,C,B
45,19859326,D,C,B,A,C,B,A,D,B,B,D,A,D,C,B,A,D,D,A,B,D,C,C,B
46,20129082,D,C,B,A,A,B,A,D,B,D,D,A,D,C,B,A,B,B,A,B,D,C,C,B
47,19859438,D,C,B,A,D,B,A,D,A,B,D,A,D,C,B,A,B,B,A,B,C,B,C,B
48,20067813,D,C,B,A,D,B,A,D,B,B,D,A,D,C,B,A,B,B,C,B,D,C,C,B
49,20095764,B,A,B,A,D,A,B,B,C,A,D,B,A,D,B,B,C,A,C,B,B,D,B,C
50,19859440,D,C,B,A,D,D,A,B,B,D,B,A,D,D,C,B,A,A,C,A,D,C,B,B
51,10266267,B,B,B,A,C,D,B,C,B,D,A,B,A,D,B,B,A,B,D,A,D,C,C,A
52,20104514,D,C,B,A,D,B,A,D,D,B,D,A,D,D,B,A,B,B,A,B,B,C,C,B
53,19859338,B,D,A,B,B,B,B,B,C,B,D,B,A,B,B,C,A,C,B,C,B,C,A,C
54,10191454,D,C,B,A,A,B,A,D,B,B,A,C,D,D,B,A,B,B,A,B,D,C,C,B
55,4703359,D,C,B,D,D,B,A,D,B,B,D,B,D,D,B,A,B,B,A,B,D,C,C,A
56,19859354,D,D,B,A,D,B,A,D,B,B,D,A,D,C,B,A,B,B,A,B,D,C,C,B
57,20348903,B,C,B,A,D,B,A,D,B,B,D,A,B,C,C,B,B,B,C,C,A,,,A
58,6652747,B,D,B,A,C,B,B,A,A,B,A,D,B,C,B,D,A,C,D,A,B,B,D,A
59,10236610,C,B,D,A,A,D,B,C,A,D,B,C,A,C,A,C,B,C,D,C,B,C,A,D
60,20020978,B,A,A,D,A,C,B,A,B,A,A,D,C,B,B,A,D,C,A,B,B,C,A,B
61,20242023,A,B,D,B,B,C,A,A,D,D,B,D,C,B,D,A,D,B,A,D,D,D,A,A
62,19844883,D,C,B,A,D,B,B,D,B,B,A,A,A,A,A,A,B,B,A,B,C,C,C,B
63,6728377,C,A,C,C,A,C,C,D,C,B,C,C,A,A,A,A,A,A,A,D,D,A,C,C
64,19927823,C,B,B,A,A,A,B,B,A,A,A,A,A,C,A,B,A,A,A,A,A,B,A,A
65,20051853,C,B,A,C,C,D,D,C,A,B,C,B,B,C,B,C,D,C,B,B,C,C,D,B
66,20088633,C,D,A,B,A,B,B,D,A,C,B,C,D,D,A,B,B,B,B,B,B,A,D,C
67,20183680,A,C,C,A,C,B,A,B,B,D,D,D,B,D,B,A,A,B,B,A,A,D,B,C
68,20116464,D,D,B,D,D,B,A,D,B,A,D,A,A,A,B,A,B,B,A,D,D,A,C,B
69,4211322,D,C,C,A,D,C,A,B,C,B,C,C,D,B,D,A,C,A,D,B,C,A,A,B
70,20116472,C,A,B,A,D,B,A,D,B,B,B,A,D,A,D,A,B,B,A,B,D,C,C,B
71,19880778,A,A,A,B,A,A,B,A,A,A,A,A,B,A,A,A,A,C,C,A,A,A,A,A
72,20116467,B,B,C,C,C,C,B,C,A,C,C,C,C,A,B,B,B,C,B,B,C,B,D,C
73,20113901,A,C,A,D,B,D,C,C,D,D,A,C,C,C,A,A,B,C,D,D,A,D,D,A
75,19980868,D,D,B,B,D,B,A,D,B,A,D,A,A,A,B,A,B,B,A,D,D,A,C,B
76,19854630,C,C,B,D,C,B,B,B,A,B,A,C,D,A,A,B,D,C,C,B,B,A,C,C
77,6728135,D,A,B,C,A,A,D,B,A,B,D,A,A,D,B,D,B,B,C,C,A,D,C,A
78,19854724,B,B,A,A,B,C,A,D,A,C,C,A,C,B,B,C,C,A,B,C,A,B,C,B
79,10225714,C,C,B,A,A,B,A,D,C,D,A,A,D,C,B,A,B,B,A,B,A,C,C,B
82,3168401,C,B,C,A,B,B,C,C,C,D,C,B,B,B,D,C,B,B,A,B,B,C,D,A
83,20005752,A,B,C,C,B,C,A,B,A,D,A,A,A,A,A,A,B,A,D,A,A,A,C,A
84,20005700,A,D,B,D,A,D,D,D,C,B,C,D,A,C,D,A,D,A,B,D,D,A,B,B
85,10221767,B,A,B,D,A,D,A,D,B,B,B,A,A,D,D,A,B,B,D,B,D,C,B,A
86,7092393,B,B,B,B,A,A,B,A,B,A,A,A,A,B,B,A,A,A,B,A,B,B,A,A
87,19864500,C,D,D,B,C,D,A,B,C,A,D,C,D,A,D,D,B,A,D,D,C,A,B,B
88,19981525,A,A,C,C,A,A,A,A,C,B,A,D,D,B,B,A,B,C,C,A,A,C,D,D
89,19883271,A,B,A,A,D,C,A,D,B,B,D,A,D,D,D,D,B,B,A,B,A,C,C,B
90,20109593,B,B,C,A,C,C,A,C,A,B,A,C,A,C,C,B,C,C,C,D,D,C,D,C
91,19894428,A,B,C,A,A,A,A,B,B,B,A,C,,,,,,,,,,,,
93,7092132,B,A,B,A,B,C,B,C,B,B,A,B,D,B,A,C,A,B,A,A,B,A,A,B
94,19864564,B,B,A,A,C,C,B,A,A,A,B,A,A,C,C,A,C,A,B,B,A,C,A,C
