N°,NIE,G1-LEG1,G1-LEG2,G1-LEG3,G1-LEG4,G1-LEG5,G1-LEG6,G2-LEG7,G2-LEG8,G2-LEG9,G2-LEG10,G2-LEG11,G2-LEG12,G3-LEG13,G3-LEG14,G3-LEG15,G3-LEG16,G3-LEG17,G3-LEG18,G4-LEG19,G4-LEG20,G4-LEG21,G4-LEG22,G4-LEG23,G4-LEG24
1,19997896,1,1,0,1,0,1,1,0,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,1
2,19997894,1,0,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,0,0,1,1,1,1,0
3,20291474,1,1,1,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0
4,20095991,1,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
5,10077405,1,1,1,1,0,0,0,1,0,1,0,0,1,1,1,1,1,1,0,0,1,0,1,1
6,20066187,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
7,20174659,0,1,0,1,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1
8,20097109,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0
9,20110451,0,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0,1,1,1,0,0,0,0
10,20097297,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
11,20097076,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
12,10067015,1,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0
13,20281771,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
14,10058980,1,1,1,1,0,1,0,1,1,0,1,0,1,1,0,1,1,0,0,0,1,0,0,0
15,20304571,1,0,0,1,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0
16,20097587,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,0,0,1,0,0,0
17,10003360,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,10019206,1,0,1,1,0,1,0,0,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,1
19,20098274,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0
20,20098524,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0
21,20098397,1,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0
22,10024331,1,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0
23,20098860,1,1,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0
24,20099421,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
25,20100017,1,1,1,1,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0
26,20099658,0,1,1,0,0,0,1,0,1,1,0,0,1,1,1,1,0,1,0,0,1,1,1,0
27,20228720,1,1,0,1,0,1,0,0,1,0,0,0,1,1,1,0,1,1,0,0,1,0,1,0
28,20292215,1,0,1,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0
29,19863387,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,1,1,1,0,1,0,0,1
30,20273018,1,1,1,1,0,0,1,0,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,0
31,20100436,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1
32,7281471,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
33,20097001,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1
34,20099040,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0
35,19863271,1,1,1,1,0,0,1,0,1,1,0,0,1,1,1,1,1,1,0,1,1,0,1,0
36,20100524,0,1,0,0,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,0,0,1,0,0
37,20100502,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0
38,7281474,1,1,1,1,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0
39,19885457,1,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0
40,19863316,1,1,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0
41,20129058,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,0,1,1,1,0
42,20095743,1,1,1,1,0,1,1,1,0,1,0,1,1,1,0,1,1,0,1,1,1,1,0,1
43,20129062,1,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0
44,20112445,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1
45,10033206,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
46,20095760,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
47,20084146,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
48,20254210,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1
49,20095781,1,1,1,0,1,1,1,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0,0,0
50,10153128,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,1,0,1,1,0,0,0
51,19859345,1,0,1,1,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0
52,19815596,1,1,0,1,0,1,1,0,1,1,0,0,1,1,1,1,1,0,0,0,1,0,1,0
53,20104813,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,0,1
54,20129132,1,1,0,1,0,1,0,0,0,0,1,1,0,1,1,1,0,1,1,0,1,0,0,0
55,10865046,1,1,1,1,0,1,1,0,0,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1
